clusters,wcss
10000,0.025416118012314772
11000,0.021044095392900697
12000,0.017786299069949333
13000,0.015001488538579542
14000,0.01294711799462393
15000,0.011314007499571111
16000,0.010032559931509423
17000,0.008928027369583137
18000,0.007952126490650142
19000,0.007136938820330725
20000,0.006487838875993693
21000,0.005919932899409241
22000,0.005409501990821281
23000,0.004941957710960661
24000,0.004532856534469452
25000,0.004207498296667041
26000,0.0039048588534907063
27000,0.0036338340986518804
28000,0.0033775916925625
29000,0.0031252981880411828
