clusters,wcss
10000,0.025373476264343837
11000,0.021008167204231962
12000,0.017746718229505503
13000,0.01497793438568467
14000,0.012916359939330374
15000,0.01129051204953685
16000,0.010009413575460905
17000,0.008904013497893137
18000,0.007930443816269428
19000,0.007115909647376695
20000,0.006468117007527681
21000,0.005901051431182939
22000,0.00539066274291659
23000,0.004924583900908499
24000,0.004517221500425523
25000,0.004193787747984802
26000,0.0038916472845329556
27000,0.0036227582477458033
28000,0.003367397674504878
29000,0.003115312933374722
